Date,Close/Last,Volume,Open,High,Low
09/30/2021,$167.75,2663690,$168.1,$169.5,$165.71
09/29/2021,$168.07,2788740,$170.1,$171.2207,$166.5504
09/28/2021,$168.58,4362803,$172.516,$173.56,$166.9
09/27/2021,$174.26,3551430,$175,$176.319,$172.02
09/24/2021,$175.88,4084868,$174.53,$176.96,$173.61
09/23/2021,$175.13,5370786,$171.55,$176,$170.5001
09/22/2021,$169.96,4353595,$170.0293,$171.81,$167.3713
09/21/2021,$169.29,8592501,$164,$170.01,$162.96
09/20/2021,$161.64,6846832,$162.24,$166.54,$159.445
09/17/2021,$166.59,20024680,$169.3,$170,$163.61
09/16/2021,$168.15,6094825,$165.26,$169.45,$165.04
09/15/2021,$166.37,5656017,$162.32,$166.63,$160.49
09/14/2021,$163.3,4655503,$160.66,$164.7,$159.41
09/13/2021,$160.32,7520949,$160.25,$162.99,$154.79
09/10/2021,$165.2,3985251,$166.95,$168.2356,$165.01
09/09/2021,$166,5935754,$163,$166.97,$160.83
09/08/2021,$163.93,5866501,$163.23,$166.55,$161.6
09/07/2021,$165,11017030,$159.72,$165.735,$159.55
09/03/2021,$158,4460935,$158.05,$160.64,$157.2
09/02/2021,$157.2,3302257,$156.5,$159.4601,$156.5
09/01/2021,$156.59,4324746,$154.84,$158.64,$154.29
08/31/2021,$154.99,7403951,$155.94,$158.15,$153.58
08/30/2021,$156.02,3968745,$154.41,$157.49,$151.92
08/27/2021,$154.18,4818820,$152.251,$156.44,$151.45
08/26/2021,$152.73,7242951,$159.34,$159.4999,$151.45
08/25/2021,$160.35,7267704,$158.764,$163.0587,$158
08/24/2021,$161.42,22096780,$147,$161.98,$146.5
08/23/2021,$146.79,4727431,$144.9,$147.6299,$144.15
08/20/2021,$143.7,2996182,$142,$143.949,$141.5
08/19/2021,$142.65,4732393,$143.791,$145.28,$141.92
08/18/2021,$146.74,5190073,$144.02,$148.68,$141.7
08/17/2021,$143.9,7855110,$145,$148.2,$143.58
08/16/2021,$148.57,7720442,$151.99,$152.03,$144.9
08/13/2021,$152.76,16789080,$146.66,$152.76,$144.51
08/12/2021,$151.15,8925109,$148.86,$151.68,$146.55
08/11/2021,$148.16,6717728,$147.54,$149.2796,$145.1576
08/10/2021,$147.95,5149830,$149.365,$150.76,$147.85
08/09/2021,$149.44,5541924,$148.74,$151,$148.7
08/06/2021,$149.99,4043474,$148.99,$150.19,$147.55
08/05/2021,$150.32,4737513,$146.67,$150.41,$146.3993
08/04/2021,$147.4,4631430,$145.1,$147.46,$145.01
08/03/2021,$145.65,5491010,$147.7284,$147.79,$143.2801
08/02/2021,$145.49,4522437,$143.85,$146.27,$143.4
07/30/2021,$144.01,4167130,$141.75,$144.69,$141.74
07/29/2021,$143.47,5005450,$143.646,$145,$141.71
07/28/2021,$143.3,4466785,$141.31,$143.73,$141.03
07/27/2021,$141.58,5113147,$141.255,$142.52,$138.31
07/26/2021,$142,6489516,$139.13,$142.19,$137.2
07/23/2021,$138.73,2811110,$139.8,$140,$137.41
07/22/2021,$139.47,4628360,$141.2898,$141.2898,$137.66
07/21/2021,$139.25,5269631,$136.71,$140.15,$135.725
07/20/2021,$136.09,6274608,$132.75,$137.435,$131.7
07/19/2021,$131.88,7215671,$131.36,$133.77,$130.31
07/16/2021,$134.31,6094631,$139.69,$139.7899,$133.51
07/15/2021,$137.5,6576068,$139.18,$140.52,$136.54
07/14/2021,$139.09,8545476,$143.86,$144.2,$139.04
07/13/2021,$143.41,5871457,$147.695,$147.695,$143
07/12/2021,$146.69,3276273,$148.99,$150.42,$146.01
07/09/2021,$149.64,7065139,$143.3,$150.26,$143.3
07/08/2021,$142.53,4827157,$140.43,$143.73,$139.53
07/07/2021,$143.72,5650921,$148.15,$148.94,$143.6
07/06/2021,$148.37,5069422,$150.08,$152.8,$147.8101
07/02/2021,$150.23,4844712,$153.31,$154.95,$149.56
07/01/2021,$153.08,9793859,$154.5,$157.41,$151.41
06/30/2021,$153.14,9798633,$145.545,$154.09,$144.245
06/29/2021,$146.08,7478999,$149.75,$149.94,$145.77
06/28/2021,$149.94,6450955,$148.615,$150.93,$147.08
06/25/2021,$149.67,6452449,$151.23,$153.17,$149.28
06/24/2021,$150.73,8173384,$152.67,$153.6272,$149.86
06/23/2021,$151.58,9335718,$149.76,$154.59,$147.8
06/22/2021,$149.68,5790390,$149.75,$151.6468,$148.4
06/21/2021,$149.7,8040208,$152.52,$152.61,$145.83
06/18/2021,$152.52,11628920,$150.38,$154.8,$149.4
06/17/2021,$150.7,8171295,$148.99,$152.29,$148.6116
06/16/2021,$149.15,9632778,$150.95,$152.35,$146.92
06/15/2021,$151.78,12007680,$149.2,$153.74,$148.84
06/14/2021,$149.21,6107480,$149.25,$149.6,$146.85
